City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,New Lenox,US,2021-08-05 20:30:08,41.512,-87.9656,87.03,50,40,3.0
284,Nouadhibou,MR,2021-08-05 20:30:08,20.931,-17.0347,71.58,83,5,20.71
285,Champerico,GT,2021-08-05 20:30:09,14.3,-91.9167,87.76,72,22,5.84
286,Kavaratti,IN,2021-08-05 20:28:12,10.5669,72.642,82.2,80,99,20.76
287,Kuruman,ZA,2021-08-05 20:30:09,-27.4524,23.4325,50.0,34,2,10.58
288,Hualmay,PE,2021-08-05 20:30:09,-11.0964,-77.6139,66.6,76,18,11.3
289,Guiberoua,CI,2021-08-05 20:30:10,6.2392,-6.1727,71.33,95,93,4.5
290,Lata,PT,2021-08-05 20:30:10,40.1629,-8.3327,71.04,97,4,2.95
291,Nyurba,RU,2021-08-05 20:30:10,63.2842,118.3319,53.1,55,12,6.17
292,Kaduqli,SD,2021-08-05 20:30:11,11.0167,29.7167,80.24,65,62,3.44
293,Dicabisagan,PH,2021-08-05 20:30:11,17.0818,122.4157,81.82,75,99,6.82
294,Lasa,IT,2021-08-05 20:26:02,46.6166,10.7002,61.54,83,93,4.36
295,Kalmunai,LK,2021-08-05 20:30:11,7.4167,81.8167,80.01,72,100,5.12
