City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
440,Kutum,SD,73.24,overcast clouds,14.2,24.67,Dibbo areaمنطقة دبو
442,Luwuk,ID,75.97,broken clouds,-0.95,122.79,Hotel Santika Luwuk
444,Padang,ID,76.28,overcast clouds,-0.95,100.35,Mercure Padang
445,Bijapur,IN,73.45,overcast clouds,16.83,75.7,Rajdhani Lodge
446,Port-Gentil,GA,76.96,scattered clouds,-0.72,8.78,Fengshui Residence
447,Bar Harbor,US,77.34,mist,44.39,-68.2,Atlantic Oceanside Hotel & Event Center
448,Phan Thiet,VN,78.01,broken clouds,10.93,108.1,Hotel Saigon-PT
450,Tual,ID,80.46,overcast clouds,-5.67,132.75,Grand Vilia Hotel
452,Tumwater,US,88.34,clear sky,47.01,-122.91,Olympia Hotel at Capitol Lake
453,Ron,IN,72.27,overcast clouds,15.67,75.73,Kumar Lodge
454,Saint-Junien,FR,70.38,clear sky,45.88,0.9,"The Originals City, Hôtel Le Boeuf Rouge, Saint-Junien (Inter-Hotel)"
455,Jiangmen,CN,79.93,light rain,22.58,113.08,Palace International Hotel
458,Sorong,ID,76.8,overcast clouds,-0.88,131.25,waigo splash hotel
461,Aksu,CN,71.42,scattered clouds,41.12,80.26,Pudong Holiday Hotel
462,Orodara,BF,73.78,overcast clouds,10.95,-4.93,Bkf Orodara
466,Quang Ngai,VN,79.07,overcast clouds,15.12,108.8,Central Hotel
469,Benguela,AO,72.21,clear sky,-12.58,13.41,Hotel Praia Morena
472,Hamilton,US,89.92,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
473,Yangshe,CN,78.31,overcast clouds,31.89,120.61,合丰机械
476,Horodyshche,UA,73.69,overcast clouds,49.28,31.45,Noyev Kovcheh
479,Hsinchu,TW,80.33,light rain,24.8,120.97,迎曦大飯店
480,Bintulu,MY,77.41,scattered clouds,3.17,113.03,900 Boutique INN
481,Guangyuan,CN,74.14,overcast clouds,32.44,105.82,Guangyuan Poetry Hotel
485,Sao Joao Da Barra,BR,73.49,clear sky,-21.64,-41.05,Pousada Porto De Canoas
486,Banepa,NP,71.92,scattered clouds,27.63,85.52,Dhulikhel Lodge Resort
487,Manokwari,ID,79.3,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
